Date,Open
03/15/2022,2562.01
03/14/2022,2525.12
03/13/2022,2591.04
03/12/2022,2583.86
03/11/2022,2551.41
03/10/2022,2658.72
03/09/2022,2718.99
03/08/2022,2541.66
03/07/2022,2525.67
03/06/2022,2645.68
03/03/2022,2947.14
03/02/2022,2997.14
03/01/2022,2925.32
02/28/2022,2612.25
02/27/2022,2706.14
02/26/2022,2807.70
02/25/2022,2615.98
02/24/2022,2402.67
02/23/2022,2652.93
02/22/2022,2511.26
02/21/2022,2744.16
02/20/2022,2682.65
02/19/2022,2814.85
02/18/2022,2879.03
02/17/2022,3065.23
02/16/2022,3122.86
02/15/2022,3015.34
02/14/2022,2866.59
02/13/2022,2917.16
02/12/2022,2936.46
02/11/2022,3070.07
02/10/2022,3169.37
02/09/2022,3079.83
02/08/2022,3162.12
02/07/2022,3085.97
02/06/2022,3017.08
02/05/2022,3013.39
02/04/2022,2683.50
02/03/2022,2663.67
02/02/2022,2761.79
02/01/2022,2742.74
01/31/2022,2498.86
01/30/2022,2590.44
01/29/2022,2538.90
01/28/2022,2441.21
01/27/2022,2394.20
01/26/2022,2498.26
01/25/2022,2239.26
01/24/2022,2438.39
01/23/2022,2432.74
01/22/2022,2555.67
01/21/2022,2861.36
01/20/2022,3123.90
01/19/2022,3101.39
01/18/2022,3175.44
01/17/2022,3254.01
01/16/2022,3317.48
01/15/2022,3305.28
01/14/2022,3272.63
01/13/2022,3336.15
01/12/2022,3227.30
01/11/2022,3119.65
01/10/2022,3176.73
01/09/2022,3080.68
01/08/2022,3219.66
01/07/2022,3217.36
01/06/2022,3455.03
01/05/2022,3809.05
01/04/2022,3730.89
01/03/2022,3785.36
01/02/2022,3758.95
01/01/2022,3724.22
12/31/2021,3744.28
12/30/2021,3649.76
12/29/2021,3816.18
12/28/2021,3959.24
12/27/2021,4080.15
12/26/2021,4022.11
12/25/2021,4037.01
12/24/2021,4090.39
12/23/2021,3948.75
12/22/2021,4054.15
12/21/2021,4035.60
12/20/2021,3927.11
12/19/2021,3977.95
12/18/2021,3882.90
12/17/2021,3977.85
12/16/2021,4009.43
12/15/2021,3856.60
12/14/2021,3771.97
12/13/2021,4016.74
12/12/2021,4011.48
12/11/2021,4033.76
12/10/2021,4127.31
12/09/2021,4389.27
12/08/2021,4317.86
12/07/2021,4344.68
12/06/2021,4166.13
12/05/2021,4155.88
12/04/2021,4475.74
12/03/2021,4532.90
12/02/2021,4510.47
12/01/2021,4730.30
11/30/2021,4443.47
11/29/2021,4323.95
11/28/2021,4021.35
11/27/2021,4133.84
11/26/2021,4420.22
11/25/2021,4288.21
11/24/2021,4269.17
11/23/2021,4168.77
11/22/2021,4153.63
11/21/2021,4331.12
11/20/2021,4292.24
11/19/2021,4052.89
11/18/2021,4255.48
11/17/2021,4135.54
11/16/2021,4347.29
11/15/2021,4704.61
11/14/2021,4633.32
11/13/2021,4620.40
11/12/2021,4779.20
11/11/2021,4635.04
11/10/2021,4713.26
11/09/2021,4805.34
11/08/2021,4719.19
11/07/2021,4550.24
11/06/2021,4481.31
11/05/2021,4506.13
11/04/2021,4562.61
11/03/2021,4599.10
11/02/2021,4306.76
11/01/2021,4237.23
10/31/2021,4367.55
10/30/2021,4339.87
10/29/2021,4379.62
10/28/2021,3994.05
10/27/2021,4210.01
10/26/2021,4224.63
10/25/2021,4135.10
10/24/2021,4132.40
10/23/2021,4022.62
10/22/2021,4153.04
10/21/2021,4184.46
10/20/2021,3844.39
10/19/2021,3823.44
10/18/2021,3853.34
10/17/2021,3879.27
10/16/2021,3841.45
10/15/2021,3820.26
10/14/2021,3644.12
10/13/2021,3501.01
10/12/2021,3482.14
10/11/2021,3518.25
10/10/2021,3530.96
